lemma,PoS,snippet_definition,url
anticolonialista,"agg., s.m. e f.","anticolonialista (agg., s.m. e f.) CO agg., caratterizzato da opposizione al colonialismo | agg., s.m. e f., che, chi si oppone al …",https://dizionario.internazionale.it/parola/anticolonialista
antidivorzista,"agg., s.m. e f.","antidivorzista (agg., s.m. e f.) CO agg., caratterizzato da opposizione al divorzio | agg., s.m. e f., che, chi è contrario …",https://dizionario.internazionale.it/parola/antidivorzista
antifascista,"agg., s.m. e f.","antifascista (agg., s.m. e f.) CO agg., caratterizzato da opposizione al fascismo | agg., s.m. e f., che, chi si oppone al …",https://dizionario.internazionale.it/parola/antifascista
antifemminista,"agg., s.m. e f.","antifemminista (agg., s.m. e f.) CO agg., relativo all’antifemminismo; caratterizzato da antifemminismo | agg., s.m. e f., che, …",https://dizionario.internazionale.it/parola/antifemminista
antimarxista,"agg., s.m. e f.","antimarxista (agg., s.m. e f.) CO agg., caratterizzato da opposizione al marxismo | agg., s.m. e f., che, chi si oppone al …",https://dizionario.internazionale.it/parola/antimarxista
antimilitarista,"agg., s.m. e f.","antimilitarista (agg., s.m. e f.) CO agg., antimilitaristico | agg., s.m. e f., che, chi si oppone al militarismo…",https://dizionario.internazionale.it/parola/antimilitarista
antimperialista,"agg., s.m. e f.","antimperialista (agg., s.m. e f.) CO agg., antimperialistico | agg., s.m. e f., che, chi si oppone all’imperialismo…",https://dizionario.internazionale.it/parola/antimperialista
antinazista,"agg., s.m. e f.","antinazista (agg., s.m. e f.) CO agg., caratterizzato da opposizione al nazismo | agg., s.m. e f., che, chi si oppone al nazismo…",https://dizionario.internazionale.it/parola/antinazista
antinuclearista,"agg., s.m. e f.","antinuclearista (agg., s.m. e f.) CO che, chi si oppone all’uso di armi nucleari | che, chi è contrario alla produzione e …",https://dizionario.internazionale.it/parola/antinuclearista
antiproibizionista,"agg., s.m. e f.","antiproibizionista (agg., s.m. e f.) 1. agg. CO stor. negli anni Trenta negli Stati Uniti d’America, finalizzato all’abolizione del …",https://dizionario.internazionale.it/parola/antiproibizionista
antivivisezionista,"agg., s.m. e f.","antivivisezionista (agg., s.m. e f.) CO agg., caratterizzato da opposizione alla vivisezione: campagna antivivisezionista | agg., s.m. e …",https://dizionario.internazionale.it/parola/antivivisezionista
apneista,"agg., s.m. e f.","apneista (agg., s.m. e f.) CO che, chi si immerge in apnea…",https://dizionario.internazionale.it/parola/apneista
apprendista,s.m. e f.,"apprendista (s.m. e f.) AD 1. chi lavora in un’azienda a stipendio ridotto allo scopo di imparare il mestiere 2. estens., …",https://dizionario.internazionale.it/parola/apprendista
araldista,s.m. e f.,"araldista (s.m. e f.) CO esperto, studioso di araldica…",https://dizionario.internazionale.it/parola/araldista
archivista,s.m. e f.,archivista (s.m. e f.) CO chi dirige o è addetto a un archivio…,https://dizionario.internazionale.it/parola/archivista
armonicista,s.m. e f.,armonicista (s.m. e f.) 1. CO suonatore di armonica 2. CO mus. operaio specializzato nella costruzione di strumenti …,https://dizionario.internazionale.it/parola/armonicista
arrivista,s.m. e f.,arrivista (s.m. e f.) CO persona ambiziosa e senza scrupoli che vuole raggiungere un’elevata posizione sociale ed …,https://dizionario.internazionale.it/parola/arrivista
arrogante,"agg., s.m. e f.","arrogante (agg., s.m. e f.) CO agg., di qcs., che denota arroganza: comportamento, gesto arrogante | agg., s.m. e f., che, chi …",https://dizionario.internazionale.it/parola/arrogante
artista,s.m. e f.,"artista (s.m. e f.) FO 1. chi esercita professionalmente un’arte o vi si dedica abitualmente, spec. eccellendo: quel …",https://dizionario.internazionale.it/parola/artista
ascensorista,s.m. e f.,ascensorista (s.m. e f.) 1. CO tecnico che si occupa della manutenzione e della riparazione degli ascensori 2. CO chi …,https://dizionario.internazionale.it/parola/ascensorista
asfaltista,s.m. e f.,asfaltista (s.m. e f.) CO asfaltatore…,https://dizionario.internazionale.it/parola/asfaltista
assediante,"p.pres., agg., s.m. e f.","assediante (p.pres., agg., s.m. e f.) 1. p.pres. => assediare 2. agg., s.m. e f. CO che, chi assedia: l’esercito assediante, gli …",https://dizionario.internazionale.it/parola/assediante
aspirante,"p.pres., agg., s.m. e f.","aspirante (p.pres., agg., s.m. e f.) 1. p.pres., agg. => aspirare 2a. agg., s.m. e f. CO che, chi aspira al conseguimento di qcs.: …",https://dizionario.internazionale.it/parola/aspirante
assegnista,s.m. e f.,assegnista (s.m. e f.) CO titolare di un assegno di studio…,https://dizionario.internazionale.it/parola/assegnista
assenteista,"agg., s.m. e f.","assenteista (agg., s.m. e f.) CO 1. che, chi si assenta frequentemente dal posto di lavoro, spec. senza validi motivi 2. che, chi …",https://dizionario.internazionale.it/parola/assenteista
associazionista,s.m. e f.,"associazionista (s.m. e f.) CO chi pratica l’associazionismo | CO psic., ling. chi segue la dottrina dell’associazionismo | …",https://dizionario.internazionale.it/parola/associazionista
assolutista,"agg., s.m. e f.","assolutista (agg., s.m. e f.) CO 1. agg., s.m. e f., che, chi è fautore o seguace dell’assolutismo 2. agg., s.m. e f., …",https://dizionario.internazionale.it/parola/assolutista
astante,"agg., s.m. e f.","astante (agg., s.m. e f.) 1. agg., s.m. e f. CO spec. al pl., che, chi è presente in un determinato luogo: gli astanti …",https://dizionario.internazionale.it/parola/astante
astensionista,"agg., s.m. e f.","astensionista (agg., s.m. e f.) CO che, chi si astiene dal partecipare alla vita politica, spec. alle elezioni…",https://dizionario.internazionale.it/parola/astensionista
attaccante,"p.pres., agg., s.m. e f.","attaccante (p.pres., agg., s.m. e f.) 1. p.pres. => attaccare 2. agg. AD che attacca: l’esercito attaccante 3. s.m. e f. AD nel calcio, …",https://dizionario.internazionale.it/parola/attaccante
attendista,s.m. e f.,attendista (s.m. e f.) CO chi evita di prendere iniziative in attesa del maturare degli eventi; anche agg.: un …,https://dizionario.internazionale.it/parola/attendista
attivista,s.m. e f.,attivista (s.m. e f.) 1. CO chi opera attivamente nell’ambito di un’organizzazione spec. politica; anche agg. 2. CO …,https://dizionario.internazionale.it/parola/attivista
autocisternista,s.m. e f.,autocisternista (s.m. e f.) CO chi guida autocisterne…,https://dizionario.internazionale.it/parola/autocisternista
autogruista,s.m. e f.,autogruista (s.m. e f.) CO chi manovra o guida un’autogrù…,https://dizionario.internazionale.it/parola/autogruista
autolesionista,"s.m. e f., agg.","autolesionista (s.m. e f., agg.) 1a. s.m. e f. CO psic. chi pratica l’autolesionismo 1b. s.m. e f. CO estens., chi si procura un …",https://dizionario.internazionale.it/parola/autolesionista
automobilista,s.m. e f.,automobilista (s.m. e f.) AD 1. chi guida un’automobile 2. chi pratica l’automobilismo sportivo…,https://dizionario.internazionale.it/parola/automobilista
autonomista,"s.m. e f., agg.","autonomista (s.m. e f., agg.) CO s.m. e f., sostenitore dell’autonomismo | agg., autonomistico…",https://dizionario.internazionale.it/parola/autonomista
automodellista,s.m. e f.,automodellista (s.m. e f.) CO chi si dedica all’automodellismo…,https://dizionario.internazionale.it/parola/automodellista
autostoppista,s.m. e f.,autostoppista (s.m. e f.) CO chi pratica l’autostop…,https://dizionario.internazionale.it/parola/autostoppista
autotrenista,s.m. e f.,autotrenista (s.m. e f.) CO guidatore di autotreni…,https://dizionario.internazionale.it/parola/autotrenista
avvenirista,"agg., s.m. e f.","avvenirista (agg., s.m. e f.) CO agg., avveniristico: progetto avvenirista | agg., s.m. e f., che, chi ha un’entusiastica …",https://dizionario.internazionale.it/parola/avvenirista
aziendalista,"s.m. e f., agg.","aziendalista (s.m. e f., agg.) CO 1. s.m. e f., esperto di economia aziendale 2a. s.m. e f., chi ha un comportamento …",https://dizionario.internazionale.it/parola/aziendalista
azionista,s.m. e f.,1azionista (s.m. e f.) CO chi possiede azioni di una società: assemblea degli azionisti…,https://dizionario.internazionale.it/parola/azionista
ebanista,s.m. e f.,ebanista (s.m. e f.) CO chi per mestiere lavora l’ebano o altri legni pregiati…,https://dizionario.internazionale.it/parola/ebanista
ebanista,s.m. e f.,ebanista (s.m. e f.) CO chi per mestiere lavora l’ebano o altri legni pregiati…,https://dizionario.internazionale.it/parola/ebanista
ecologista,"s.m. e f., agg.","ecologista (s.m. e f., agg.) CO 1. s.m. e f., ecologo 2. agg., s.m. e f., fautore dell’ecologismo | agg., che si propone di …",https://dizionario.internazionale.it/parola/ecologista
ecopacifista,"agg., s.m. e f.","ecopacifista (agg., s.m. e f.) CO nel linguaggio giornalistico, che, chi propugna l’ecopacifismo…",https://dizionario.internazionale.it/parola/ecopacifista
ecoterrorista,s.m. e f.,"ecoterrorista (s.m. e f.) CO nel linguaggio giornalistico, chi pratica l’ecoterrorismo…",https://dizionario.internazionale.it/parola/ecoterrorista
edicolante,s.m. e f.,"edicolante (s.m. e f.) CO chi gestisce un’edicola per la vendita di giornali, periodici o libri…",https://dizionario.internazionale.it/parola/edicolante
edonista,"agg., s.m. e f.","edonista (agg., s.m. e f.) 1. agg. CO filos. caratterizzato da edonismo: filosofia edonista | agg., s.m. e f., che, chi segue …",https://dizionario.internazionale.it/parola/edonista
efficientista,"agg., s.m. e f.","efficientista (agg., s.m. e f.) CO agg., efficientistico | agg., s.m. e f., che, chi agisce o impone di agire con efficientismo…",https://dizionario.internazionale.it/parola/efficientista
elettricista,s.m. e f.,elettricista (s.m. e f.) AD chi ripara o costruisce apparecchi e impianti elettrici…,https://dizionario.internazionale.it/parola/elettricista
elicotterista,s.m. e f.,elicotterista (s.m. e f.) CO pilota di elicotteri…,https://dizionario.internazionale.it/parola/elicotterista
emigrante,"p.pres., agg., s.m. e f.","emigrante (p.pres., agg., s.m. e f.) 1. p.pres. => emigrare 2. agg., s.m. e f. CO che, chi lascia il proprio paese e si trasferisce …",https://dizionario.internazionale.it/parola/emigrante
enigmista,s.m. e f.,enigmista (s.m. e f.) CO esperto di enigmistica…,https://dizionario.internazionale.it/parola/enigmista
equilibrista,s.m. e f.,equilibrista (s.m. e f.) CO acrobata che esegue esercizio di equilibrio: l’equilibrista camminava su una corda tesa | …,https://dizionario.internazionale.it/parola/equilibrista
erborista,s.m. e f.,erborista (s.m. e f.) CO chi raccoglie o chi vende erbe medicinali e aromatiche…,https://dizionario.internazionale.it/parola/erborista
errante,"p.pres., agg., s.m. e f.","errante (p.pres., agg., s.m. e f.) 1. p.pres. => errare 2a. agg. CO di qcn., che vaga senza meta | TS zool. => erratico 2b. agg. OB TS …",https://dizionario.internazionale.it/parola/errante
esaminante,"p.pres., agg., s.m. e f.","esaminante (p.pres., agg., s.m. e f.) 1. p.pres. => esaminare 2. agg., s.m. e f. CO esaminatore: commissione, professore esaminante…",https://dizionario.internazionale.it/parola/esaminante
esclusivista,"agg., s.m. e f.","esclusivista (agg., s.m. e f.) 1. agg. CO che pecca di esclusivismo, drastico: atteggiamento esclusivista, pensiero esclusivista | …",https://dizionario.internazionale.it/parola/esclusivista
escursionista,s.m. e f.,escursionista (s.m. e f.) CO chi compie escursioni…,https://dizionario.internazionale.it/parola/escursionista
esibizionista,"agg., s.m. e f.","esibizionista (agg., s.m. e f.) 1. agg. CO esibizionistico 2. agg., s.m. e f. CO che, chi dimostra esibizionismo 3. agg., s.m. e f. …",https://dizionario.internazionale.it/parola/esibizionista
esorcista,s.m. e f.,esorcista (s.m. e f.) 1. s.m. e f. CO chi pratica esorcismi 2. s.m. CO eccl. chierico che ha ricevuto l’esorcistato | …,https://dizionario.internazionale.it/parola/esorcista
esotista,s.m. e f.,"esotista (s.m. e f.) CO persona, spec. artista, che ha una predilezione particolare per ciò che è esotico …",https://dizionario.internazionale.it/parola/esotista
espansionista,"agg., s.m. e f.","espansionista (agg., s.m. e f.) CO agg., che ha mire di espansionismo: nazione espansionista, forze politiche espansioniste, …",https://dizionario.internazionale.it/parola/espansionista
esplosivista,"agg., s.m. e f.","esplosivista (agg., s.m. e f.) 1. agg. CO nel linguaggio giornalistico, di dinamitardo, terrorista e sim., che compie attentati …",https://dizionario.internazionale.it/parola/esplosivista
estetista,s.m. e f.,"1estetista (s.m. e f.) CO chi è esperto in cosmesi, in cure o prodotti di bellezza…",https://dizionario.internazionale.it/parola/estetista
estremista,"agg., s.m. e f.","estremista (agg., s.m. e f.) CO agg., che denota estremismo: atteggiamento, posizione estremista | agg., s.m. e f., che, chi …",https://dizionario.internazionale.it/parola/estremista
